lat,lon,reviews
40.74118,-74.00071,72
40.76322,-73.99226,38
40.64944,-73.95562,63
40.81367,-73.94426,33
40.7673,-73.97026,95
40.68935,-73.97368,1
40.71802,-73.95886,151
40.73339,-73.95413,130
40.69447,-73.90382,15
40.80723,-73.95411,25
40.64511901728561,-73.94954600909293,1
40.80858,-73.92983,126
40.64943,-73.93557,142
40.72784,-73.98849,19
40.77451,-73.9574,186
40.79346,-73.94374,248
40.71139,-73.94328,14
40.74405,-73.91594,10
40.65482,-74.01142,106
40.69026,-73.96875,13
40.7648,-73.98469,40
40.6934,-73.97319,267
40.68392,-73.92733,138
40.78779,-73.97884,4
40.82348,-73.95374,2
40.59262,-73.78894,230
40.67394,-73.95951,1
40.69543,-73.82596,43
40.79292,-73.93953,40
40.74191,-73.99395,17
40.72961,-73.98632,35
40.68645,-73.92339,19
40.738,-73.99915,6
40.74726,-73.99952,60
40.81276,-73.94602,23
40.69093,-73.90366,150
40.68768,-73.99097,51
40.68821,-73.98371,265
40.68686,-73.9371,51
40.74274,-73.97759,70
40.58447,-73.94211,74
40.67911,-73.9833,1
40.71481,-73.96006,29
40.721778869628906,-73.9961929321289,60
40.83349,-73.94408,31
40.6412,-73.9786,8
40.80441,-73.95613,3
40.70762,-73.94256,163
40.67537,-73.96644,12
40.64488,-73.97254,27
40.78255,-73.97922,326
40.77674,-73.95164,2
40.80658,-73.94932,206
40.74218,-73.9936,6
40.81349,-73.95326,291
40.74331,-73.98351,4
40.81004,-73.94184,15
40.68754,-73.97376,18
40.63866,-73.9715,3
40.716431,-73.9490627,29
40.80911,-73.94317,30
40.716431,-73.9490627,45
40.78943,-73.97495,12
40.76522,-73.98343,70
40.79296,-73.96499,22
40.79946,-73.9378,60
40.73604,-74.00905,3
40.823605,-73.945206,71
40.72547,-73.90248,210
40.70408,-73.89322,1
40.69585,-73.9446,1
40.71033,-73.9562,10
40.6575,-73.97807,1
40.81341,-73.90544,199
40.67071,-73.95409,6
40.78762,-73.95239,15
40.67876,-73.99208,48
40.67506,-73.96423,4
40.71464,-73.99045,2
40.79541,-73.97562,261
40.8169,-73.94829,278
40.76473,-73.9914,475
40.68653,-73.93416,1
40.67096,-73.92696,80
40.72451,-73.85828,86
40.6748,-73.94521,114
40.76147,-73.98846,72
40.76692,-73.92502,253
40.68889,-73.97465,121
40.73424,-74.00532,16
40.70931,-73.95011,213
40.72247,-73.999,15
40.72942,-73.99848,2
40.7071882320667,-73.92235977266616,5
40.80352,-73.96551,38
40.68371,-73.96461,3
40.65715,-73.94925,362
40.68248,-73.95047,10
40.6911,-73.94591,270
40.71744,-73.95725,15
40.71273,-73.95669,27
40.74041,-73.92623,7
40.75991,-73.96956,6
40.7202,-73.99162,1
40.67641,-73.97908,13
40.75003,-73.97423,6
40.80242,-73.94407,64
40.74267,-73.89804,66
40.66549,-73.98642,32
40.71705,-73.9576,174
40.69892,-73.95498,79
40.72308,-73.73825,11
40.73838,-74.00525,5
40.74222831036079,-73.92387607437092,4
40.68682,-73.97712,3
40.68423,-73.91747,174
40.72824,-73.98336,23
40.66074,-73.95144,181
40.79865,-73.96831,4
40.68164,-73.95021,2
40.74336,-74.00198,66
40.7399,-74.0021,89
40.78192689947972,-73.97302295062573,112
40.583683,-73.958626,96
40.80327,-73.94967,180
40.72152,-73.99456,118
40.77614,-73.94964,4
40.80581,-73.96658,9
40.71181,-73.96241,47
40.80421,-73.95151,80
40.75744,-73.967,95
40.85812,-73.93412,9
40.67163,-73.98278,35
40.64712,-73.9466,387
40.76768,-73.95524,144
